said		=========570
one		=========508
could		=========493
must		=========451
would		=========432
may		=========431
shall		=========429
see		=========398
know		=========397
time		=========390
come		=========340
van		=========322
helsing		=========322
night		=========319
came		=========309
lucy		=========299
went		=========299
like		=========292
back		=========261
good		=========258
man		=========256
well		=========245
even		=========244
seemed		=========243
mina		=========237
way		=========233
room		=========231
took		=========224
day		=========223
dear		=========223
though		=========221
much		=========221
think		=========219
saw		=========219
hand		=========211
face		=========206
jonathan		=========201
door		=========200
count		=========198
made		=========195
tell		=========195
poor		=========193
old		=========192
sleep		=========192
work		=========191
away		=========191
eyes		=========188
looked		=========186
friend		=========185
great		=========183
things		=========177
god		=========177
professor		=========175
get		=========172
look		=========172
little		=========168
make		=========166
harker		=========166
might		=========159
got		=========157
yet		=========156
found		=========156
thought		=========154
men		=========151
take		=========150
life		=========149
long		=========149
say		=========148
let		=========148
arthur		=========147
told		=========144
something		=========144
without		=========143
asked		=========143
heart		=========141
last		=========140
place		=========138
fear		=========137
ever		=========136
till		=========135
first		=========135
house		=========135
two		=========133
knew		=========130
done		=========128
seward		=========128
never		=========128
still		=========117
coming		=========117
quite		=========116
want		=========116
window		=========116
find		=========115
began		=========113
blood		=========113
nothing		=========112
dead		=========110
round		=========108
put		=========107
morning		=========107
white		=========107
many		=========106
moment		=========106
head		=========106
mind		=========106
help		=========105
hands		=========104
however		=========103
right		=========103
full		=========102
open		=========102
hear		=========102
whilst		=========101
terrible		=========100
diary		=========99
left		=========99
anything		=========99
keep		=========98
rest		=========97
far		=========97
thing		=========97
looking		=========96
death		=========95
seen		=========95
madam		=========94
heard		=========91
another		=========91
mrs		=========90
upon		=========90
cannot		=========90
bed		=========90
strange		=========90
gutenberg		=========89
godalming		=========89
felt		=========87
since		=========86
quincey		=========85
every		=========85
home		=========85
project		=========85
turned		=========84
read		=========84
love		=========84
light		=========82
others		=========82
new		=========81
sort		=========81
alone		=========81
give		=========81
opened		=========80
stood		=========80
lord		=========79
morris		=========78
spoke		=========78
end		=========78
feel		=========77
dark		=========77
better		=========77
later		=========76
john		=========76
child		=========76
believe		=========75
lay		=========75
husband		=========74
red		=========74
together		=========73
whole		=========73
held		=========73
gone		=========73
set		=========72
case		=========72
seems		=========72
ask		=========71
ready		=========71
almost		=========70
close		=========69
side		=========69
need		=========69
sat		=========69
going		=========68
soon		=========68
hope		=========67
gave		=========67
london		=========67
half		=========67
letter		=========67
speak		=========66
word		=========66
sweet		=========66
already		=========65
seem		=========65
soul		=========65
always		=========64
try		=========64
watch		=========64
ship		=========63
part		=========63
write		=========63
box		=========63
tried		=========62
world		=========62
september		=========61
three		=========61
woman		=========61
lips		=========61
days		=========61
kind		=========61
miss		=========60
strong		=========60
late		=========60
answered		=========60
water		=========60
true		=========59
enough		=========59
fell		=========59
call		=========58
kept		=========58
present		=========57
times		=========57
voice		=========57
hour		=========56
brain		=========56
horses		=========56
clock		=========56
passed		=========56
leave		=========56
understand		=========56
matter		=========55
body		=========55
along		=========55
sun		=========55
young		=========54
fellow		=========54
perhaps		=========54
air		=========54
quick		=========53
trust		=========53
suppose		=========53
use		=========53
